observation_date,CUSR0000SACE
1957-01-01,21.300
1957-02-01,21.700
1957-03-01,21.700
1957-04-01,21.800
1957-05-01,21.800
1957-06-01,21.800
1957-07-01,21.700
1957-08-01,21.300
1957-09-01,21.500
1957-10-01,21.400
1957-11-01,21.600
1957-12-01,21.600
1958-01-01,21.500
1958-02-01,21.200
1958-03-01,21.200
1958-04-01,21.100
1958-05-01,21.300
1958-06-01,21.200
1958-07-01,21.400
1958-08-01,21.500
1958-09-01,21.400
1958-10-01,21.300
1958-11-01,21.000
1958-12-01,20.900
1959-01-01,21.000
1959-02-01,21.300
1959-03-01,21.500
1959-04-01,21.600
1959-05-01,21.600
1959-06-01,21.600
1959-07-01,21.300
1959-08-01,21.500
1959-09-01,21.400
1959-10-01,21.800
1959-11-01,21.800
1959-12-01,21.900
1960-01-01,21.800
1960-02-01,21.700
1960-03-01,21.700
1960-04-01,21.800
1960-05-01,21.700
1960-06-01,21.900
1960-07-01,21.900
1960-08-01,22.000
1960-09-01,22.000
1960-10-01,21.900
1960-11-01,22.200
1960-12-01,22.100
1961-01-01,22.200
1961-02-01,22.100
1961-03-01,22.000
1961-04-01,21.500
1961-05-01,21.700
1961-06-01,21.800
1961-07-01,21.900
1961-08-01,21.900
1961-09-01,22.000
1961-10-01,21.800
1961-11-01,21.900
1961-12-01,21.700
1962-01-01,21.800
1962-02-01,22.000
1962-03-01,21.800
1962-04-01,22.200
1962-05-01,22.100
1962-06-01,21.900
1962-07-01,21.500
1962-08-01,21.600
1962-09-01,22.300
1962-10-01,22.200
1962-11-01,22.200
1962-12-01,22.400
1963-01-01,22.300
1963-02-01,22.200
1963-03-01,22.200
1963-04-01,22.000
1963-05-01,22.100
1963-06-01,21.900
1963-07-01,22.100
1963-08-01,22.200
1963-09-01,22.000
1963-10-01,22.100
1963-11-01,22.000
1963-12-01,22.100
1964-01-01,22.300
1964-02-01,21.600
1964-03-01,22.100
1964-04-01,21.900
1964-05-01,21.800
1964-06-01,21.900
1964-07-01,21.900
1964-08-01,21.900
1964-09-01,21.800
1964-10-01,21.900
1964-11-01,21.800
1964-12-01,22.000
1965-01-01,22.300
1965-02-01,22.200
1965-03-01,22.100
1965-04-01,22.600
1965-05-01,22.800
1965-06-01,22.800
1965-07-01,22.800
1965-08-01,22.600
1965-09-01,22.800
1965-10-01,22.700
1965-11-01,22.800
1965-12-01,22.800
1966-01-01,22.800
1966-02-01,22.900
1966-03-01,22.900
1966-04-01,22.900
1966-05-01,23.000
1966-06-01,23.100
1966-07-01,23.200
1966-08-01,23.100
1966-09-01,23.300
1966-10-01,23.400
1966-11-01,23.500
1966-12-01,23.500
1967-01-01,23.600
1967-02-01,23.800
1967-03-01,23.700
1967-04-01,24.100
1967-05-01,24.000
1967-06-01,23.900
1967-07-01,23.900
1967-08-01,24.000
1967-09-01,24.200
1967-10-01,24.000
1967-11-01,24.200
1967-12-01,23.900
1968-01-01,24.300
1968-02-01,24.300
1968-03-01,24.300
1968-04-01,24.200
1968-05-01,24.200
1968-06-01,24.400
1968-07-01,24.400
1968-08-01,24.600
1968-09-01,24.500
1968-10-01,24.600
1968-11-01,24.700
1968-12-01,24.400
1969-01-01,24.700
1969-02-01,24.800
1969-03-01,25.100
1969-04-01,25.400
1969-05-01,25.200
1969-06-01,25.500
1969-07-01,25.300
1969-08-01,25.300
1969-09-01,25.300
1969-10-01,25.300
1969-11-01,25.200
1969-12-01,25.200
1970-01-01,25.200
1970-02-01,25.300
1970-03-01,25.000
1970-04-01,25.800
1970-05-01,25.600
1970-06-01,25.500
1970-07-01,25.700
1970-08-01,25.400
1970-09-01,25.600
1970-10-01,25.900
1970-11-01,26.000
1970-12-01,26.200
1971-01-01,26.200
1971-02-01,26.000
1971-03-01,25.900
1971-04-01,25.700
1971-05-01,25.700
1971-06-01,25.900
1971-07-01,25.700
1971-08-01,26.400
1971-09-01,26.500
1971-10-01,26.600
1971-11-01,26.400
1971-12-01,26.400
1972-01-01,26.200
1972-02-01,26.100
1972-03-01,26.100
1972-04-01,26.000
1972-05-01,26.100
1972-06-01,26.100
1972-07-01,26.200
1972-08-01,26.500
1972-09-01,26.900
1972-10-01,26.900
1972-11-01,27.100
1972-12-01,27.100
1973-01-01,27.100
1973-02-01,27.500
1973-03-01,27.700
1973-04-01,28.100
1973-05-01,28.300
1973-06-01,29.000
1973-07-01,29.000
1973-08-01,29.000
1973-09-01,28.900
1973-10-01,30.100
1973-11-01,31.800
1973-12-01,33.500
1974-01-01,35.800
1974-02-01,37.500
1974-03-01,39.500
1974-04-01,40.300
1974-05-01,41.100
1974-06-01,41.500
1974-07-01,41.700
1974-08-01,41.600
1974-09-01,41.600
1974-10-01,41.200
1974-11-01,41.200
1974-12-01,41.200
1975-01-01,41.400
1975-02-01,41.600
1975-03-01,41.800
1975-04-01,42.100
1975-05-01,42.400
1975-06-01,42.900
1975-07-01,44.000
1975-08-01,44.200
1975-09-01,44.600
1975-10-01,45.000
1975-11-01,45.100
1975-12-01,45.200
1976-01-01,45.300
1976-02-01,45.000
1976-03-01,44.700
1976-04-01,44.400
1976-05-01,44.500
1976-06-01,45.000
1976-07-01,45.100
